Field,ID,Type (Type),default,en,de,ru,pt,zh-cn,es,fr,bg
Description,2,Text,,"Money Fox was developed to help you keep track of your finances. What are your budgets? How much money are you spending? What are you spending it on? How could you invest better? How could you save more?

- Create Accounts to either keep track of your current spending or to play around and test out new ways to allocate your budget
- Use money transfers, manually or automatically, to simulate your real spending
- See statistics of what your spending looks like
- Back it all up on your OneDrive to use your data on multiple devices
- Set a Password to make sure your data is safe and secure
- Regular updates with new features

Check it out, available for Windows and Windows Mobile now.

Are you a developer? Our project is Open-Source, you can contribute  https://github.com/MoneyFox/MoneyFox.Windows here - we?d love to share our project with you!

For further improving this app we collect impersonal data about occuring errors and issues.","Money Fox wurde entwickelt um dich bei deinen Finanzen zu unterstützen. Was sind deine Budgets? Wie viel Geld gibst du zur Zeit aus? Wofür gibst du dein Geld aus? Wie könntest du besser investieren? Wie könntest du mehr Geld sparen?

-	Erstelle Konten um deine momentanen Ausgaben zu überblicken oder um neue Möglichkeiten zum Verteilen deines Budgets zu entdecken.
-	Nutze automatische oder manuelle Geldtransfers um reale oder fiktive Einnahmen und Ausgaben zu simulieren.
-	Erhalte Statistiken über deine Ausgaben.
-	Erstelle ein Backup auf deinem OneDrive um deine Daten auf mehreren Geräten nutzen zu können.
-	Setze ein Passwort um deine Daten sicher und privat zu halten.
-	Erhalte regelmässige Updates mit neuen Features.

Schaue dir unsere App jetzt auf deinem Windows Computer oder Telefon an.
Bist du ein Entwickler? Unser Projekt ist Open-Source – schau auf https://github.com/Apply-Solutions/MoneyManager vorbei um mit uns zusammenzuarbeiten. Wir freuen uns unser Projekt mit dir zu teilen!","Money Fox разработана чтобы помочь вам отслеживать личные финансы. Какой у вас бюджет? Сколько денег вы тратите? На что вы тратите? Как выгоднее тратить? Как больше сэкономить?

Создайте счета, чтобы отслеживать ваши расходы, или найти новые варианты распределения вашего бюджета
Используйте операции вручную, или поставьте автоматическое повторение, чтобы контролировать ваши расходы
Посмотрите статистику ваших расходов
Синхронизируйте данные с OneDrive, и пользуйтесь приложением на нескольких устройствах
Установите пароль, чтобы убедиться, что ваши данные в безопасности
Регулярные обновления с новыми функциями

Доступно для Windows 10 и Windows 10 Mobile.

Вы разработчик? Наш проект с открым исходным кодом, вы можете посмотреть его здесь https://github.com/Apply-Solutions/MoneyManager - мы будем рады поделиться с вами нашим проект!","Dinheiro Fox foi desenvolvido para ajudar você a manter o controle de suas finanças. Quais são os seus orçamentos? Quanto dinheiro você está gastando? O que você gastando? Como você poderia investir melhor? Como você poderia economizar mais?

-Criar contas de também acompanhar seus gastos atuais ou para brincar e testar novas maneiras de alocar seu orçamento
-Usar as transferências de dinheiro, manualmente ou automaticamente, para simular sua despesa real
-Ver as estatísticas de seu parece que gastos com
-Salve tudo em seu OneDrive para utilizar os seus dados em vários dispositivos
-Definir uma senha para certificar-se de que seus dados estão seguros e protegidos
-Atualizações regulares com novas funcionalidades

Confira, disponível para Windows e Windows Mobile agora.

Você é um desenvolvedor? Nosso projeto é Open-Source, você pode contribuir https://github.com/Apply-Solutions/MoneyManager aqui - nós adoraríamos compartilhar nosso projeto com vocês!","Money Fox 被设计来帮助您记录您的资产。 您的预算有多少呢？ 您花了多少钱呢？ 您把他们花到哪儿了呢？ 您怎样才能投资得更有价值呢？ 您怎样才能存下更多的钱呢？

-创建一个账户，以记录您的当前花销，或尝试出新方案来分配您的预算
-手动或自动利用转账工具，以模拟您真实的开销
-了解您的花销在哪些方面，直观地展示统计数据
-通过备份一切到OneDrive，以便您在多个设备上统一数据
-您可以设置密码，以保障您的数据，使之安全，使您放心
-定期更新的其他新功能

现在，请检查您的应用商店。本应用对Windows和WIndows Mobile 皆可用。

您是开发者吗？ 我们的项目是开源的，您可以贡献您的一份力量给—https://github.com/Apply-Solutions/MoneyManager —就是上面这条链接。我们很乐意与你一同建设此项目","Dinero Fox fue desarrollado para ayudarle a hacer un seguimiento de sua finanzas. ¿Cuáles son sus presupuestos? ¿Cuánto dinero gasta? ¿Qué lo está gastando en? ¿Cómo podría invertir mejor? ¿Cómo podría ahorrar más?

-Crear cuentas o hacer un seguimiento de su gasto corriente o para jugar y probar nuevas formas de asignar su presupuesto
-Utilizar transferencias de dinero, manual o automáticamente, para simular su gasto real
-Ver estadísticas de lo que su gasto parece
-Copia de todo en su OneDrive con sus datos en múltiples dispositivos
-Cargar y descargar copias de seguridad automáticamente
-Establecer una contraseña para asegurarse de que sus datos están seguro y seguro
-Tema oscuro y claro
-Regulares actualizaciones con nuevas características

Compruébelo hacia fuera, disponible para Windows y Windows Mobile ahora.

¿Eres un desarrollador? Nuestro proyecto es de código abierto, pueden contribuir https://github.com/MoneyFox/MoneyFox.Windows aquí - estaremos encantados de compartir nuestro proyecto con ustedes!","Money Fox a été développé pour vous aider à garder une trace de vos finances. Quels sont vos budgets ? Combien d’argent dépensez vous ? Pour quoi dépensez vous ? Comment pourriez mieux vous investir ? Comment est-ce que vous pourriez économiser plus ?

-Créer des comptes pour garder une trace de vos dépenses courantes ou pour jouer et tester les nouvelles manières d’allouer votre budget
-Appliquer les transferts d’argent, manuellement ou automatiquement, afin de simuler vos dépenses réelles
-Voir a quoi ressemblent les statistiques de ce que vous dépensez
-Sauvegarder tout sur votre OneDrive pour utiliser vos données sur plusieurs périphériques
-Télécharger des sauvegardes automatiquement
-Définir un mot de passe pour s’assurer que vos données sont sûres et sécurisées
-Thème clair et foncé
-Mises à jour régulières et ajout de nouvelles fonctionnalités

Essayez le, disponible pour Windows et Windows Mobile maintenant.

Etes vous un développeur ? Notre projet est Open-Source, vous pouvez contribuer sur https://github.com/MoneyFox/MoneyFox.Windows - nous serions ravis de partager notre projet avec vous !","Money Fox е разработен, за да Ви помогне да следите финансите си лесно и удобно. Какъв е бюджета Ви? Колко пари харчите? За какво ги харчите? Бихте ли могли да ги инвестирате по-добре? Бихте ли могли да спестите повече?

Можете да създавате акаунти, за да следите текущите си разходи или просто за да експериментирате с начини да разпределяте бюджета си
Използвайте парични трансфери, ръчно или автоматично, за да симулирате вашите реални разходи
Вижте статистика за текущите си разходи
Качете всичко в OneDrive, за да използвате данните на множество устройства
Качвайте и сваляйте архивираните данни автоматично
Защитете се с парола, за да подсигурите данните си
Тъмна и светла тема
Редовни актуализации с нови функции

Изтеглете сега, приложението е налично за Windows и Windows Mobile.

Програмист ли сте? Проектът ни е с отворен код, можете да допринесете тук https://github.com/MoneyFox/MoneyFox.Windows - бихме се радвали да споделим проекта си с Вас!"
ReleaseNotes,3,Text,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Title,4,Text,,Money Fox,Money Fox,Money Fox,Money Fox,Money Fox,Money Fox,Money Fox,Money Fox
ShortTitle,5,Text,,,,,,,,,
SortTitle,6,Text,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,
ShortDescription,8,Text,,,,,,,,,
DevStudio,9,Text,,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH,Apply Solutions GmbH
SupportContactInfo,10,URL or email address,,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch,support@apply-solutions.ch
PrivacyPolicyUrl,11,URL,,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT,https://github.com/MoneyFox/MoneyFox/blob/master/PRIVACY-STATEMENT
CopyrightTrademarkInformation,12,Text,,,,,,,,,
AdditionalLicenseTerms,13,Text,,,,,,,,,
